player_name,team,position,rating,performance_tier
Lucas Nakamura,Liverpool,Goalkeeper,8.21,Elite
Malik Diallo,Atletico Madrid,Forward,8.14,Elite
Jude Costa,Napoli,Forward,8.11,Elite
Hugo Weber,Real Madrid,Defender,8.03,Elite
Malik Muller,Liverpool,Defender,8.0,Elite
Bruno Okafor,Arsenal,Midfielder,7.9,Excellent
Malik Dubois,Inter Milan,Midfielder,7.89,Excellent
Nico Nakamura,Liverpool,Defender,7.82,Excellent
Malik Garcia,Atletico Madrid,Midfielder,7.82,Excellent
Adrian Rossi,Real Madrid,Forward,7.78,Excellent
Theo Santos,Barcelona,Forward,7.78,Excellent
Rico Adeyemi,Paris SG,Midfielder,7.76,Excellent
Diego Silva,Barcelona,Defender,7.76,Excellent
Pablo Larsson,Chelsea,Midfielder,7.76,Excellent
Omar Okafor,Chelsea,Midfielder,7.75,Excellent
